"seller_id";"average_delivery_time_delayed";"number_of_delayed_orders";"number_of_orders";"percentage"
"8d899e15a5925f097cca50faa49b15e3";9.0;6;10;0.6
"b1b3948701c5c72445495bd161b83a4c";29.4444;9;18;0.5
"2709af9587499e95e803a6498a5a56e9";15.6957;23;47;0.4894
"fce62094ffe6a4009188ec44e681dfdd";33.0;5;11;0.4545
"c42fd8e4d47dfb18ce5222f2dd7752f9";54.0;5;11;0.4545
"c37b2059d4f90d4feead554e5246565e";28.2857;7;16;0.4375
"312ba1d77e9c332ef21f9598b7f64cd7";37.5;4;10;0.4
"c990d6cf976a5718aaedc539f383ab88";35.25;4;11;0.3636
"26e2c91ef821e1ff8985f408788fe35b";45.0;5;14;0.3571
"973f21788dfab357250f69a8dcb7ddee";30.1429;7;21;0.3333
"cb41bfbcbda0aea354a834ab222f9a59";78.5;4;12;0.3333
"7210cd29727d674c00741e5e387b3ccd";8.0;4;13;0.3077
"8bd0e3abda539b9479c4b44a691be1ec";38.5;4;13;0.3077
"54965bbe3e4f07ae045b90b0b8541f52";52.0769;26;86;0.3023
"ede0c03645598cdfc63ca8237acbe73d";31.2;15;50;0.3
"7f152321c60a266edc53af1925ef96c1";48.3333;6;20;0.3
"13fa2a6c6b9d0f43cb588d7c82117a12";39.3333;3;10;0.3
"e1b12447a7563944843191754aeb5562";28.3333;3;10;0.3
"3e8bd881d92466e63ba9e3e809cd3c50";21.3333;3;10;0.3
"c4d51195486dc781531876a7d00453d8";35.6;5;17;0.2941
"02dcd3e8e25bee036e32512bcf175493";29.0;5;17;0.2941
"c1ed9e3daf6154542826a6996af0fb8c";27.0;5;17;0.2941
"f76a3b1349b6df1ee875d1f3fa4340f0";29.8571;7;24;0.2917
"822bad9bc42b51213ba522fe87b7ab5d";51.4;5;18;0.2778
"821fb029fc6e495ca4f08a35d51e53a5";31.125;8;29;0.2759
"2a1348e9addc1af5aaa619b1a3679d6b";65.0;15;55;0.2727
"ad781527c93d00d89a11eecd9dcad7c1";37.8333;12;44;0.2727
"054694fa03fe82cec4b7551487331d74";65.0;6;22;0.2727
"eb4df17aed01d918c65f0f8d650900c0";19.0;3;11;0.2727
"656591be56071d4c9ef4e5fee78a578a";16.3333;3;11;0.2727
"91f0eec23d4a61d7d7caeefa3f0ad1ca";54.3333;3;11;0.2727
"3a1a1fec38dd360f15fc912e821e169d";24.75;4;15;0.2667
"2e1a7d075abe038c1b2743005fe42ff1";26.0;6;23;0.2609
"835f0f7810c76831d6c7d24c7a646d4d";25.7692;13;50;0.26
"b19f3ca2ea475913750f25a5c37c8d8f";30.8333;6;24;0.25
"02d35243ea2e497335cd0f076b45675d";39.75;4;16;0.25
"b0b346d3a89f5eb4c2968af3f083cd43";46.0;3;12;0.25
"b5abf4f36adc043117b4fca82c22984c";36.3333;3;12;0.25
"e504a4e2efaa45cbff7e268a2c58c956";22.3333;3;12;0.25
"e64d65bc8dbec2accda90c58de5d1246";20.6667;3;12;0.25
"71039d19d4303bf9054d69e9a9236699";23.5556;9;38;0.2368
"5b0cc932433fa5184b5b94bfe6bcc256";17.25;4;17;0.2353
"a066df7361163e7ddc5d7452dd17448b";26.75;4;17;0.2353
"5b581417df4480f632484ba681e53944";35.3333;3;13;0.2308
"0417b067eeab773d2f7061a726dc477f";35.3333;3;13;0.2308
"5abb8ea023c77787f2c15da891c8d384";35.6667;3;13;0.2308
"8378eb36b6b70c5734e83ad7b8cdc3b7";36.0;3;13;0.2308
"bbad7e518d7af88a0897397ffdca1979";27.3684;19;85;0.2235
"1dfe5347016252a7884b694d4f10f5c4";32.3333;6;27;0.2222
"beadbee30901a7f61d031b6b686095ad";28.3333;15;68;0.2206
"6ec1a01e866584bb679eb9b098345919";31.5714;7;32;0.2188
"5f67c6082caacb26e431a7b17940cece";39.6667;3;14;0.2143
"7fc87cc3e89b3d1d5cabdca32f8485aa";25.0;3;14;0.2143
"6039e27294dc75811c0d8a39069f52c0";29.25;16;75;0.2133
"a44fb5a447105f8469bdf16bf9159f25";30.25;4;19;0.2105
"ecccfa2bb93b34a3bf033cc5d1dcdc69";54.25;4;19;0.2105
"a49928bcdf77c55c6d6e05e09a9b4ca5";30.4545;22;106;0.2075
"ef990a83bbea832f36ebe81376335aa8";32.1111;9;44;0.2045
"4e5725ba188db8252977a4f0227bd462";36.2;5;25;0.2
"ff69aa92bb6b1bf9b8b7a51c2ed9cf8b";31.5;4;20;0.2
"13074f016982ff2bd6c58ced8682f000";32.0;3;15;0.2
"fdaaf5bfda82b7b80535610c831b8d09";28.0;3;15;0.2
"851773c885feb5e2da3b4f82bc2b17ce";40.0;2;10;0.2
"9449f25aeaf531019b76999ea49a6949";22.0;2;10;0.2
"c878515173c84a492ebe50d6b493230b";33.0;2;10;0.2
"2aa3443d7bf9d9bb11133f420d75e083";14.5;2;10;0.2
"76c47a299e4a8fe992316a85865acbe9";40.0;2;10;0.2
"ab3e0c171fe84a7ba7de130f19cfb485";27.5;2;10;0.2
"a13580f0e8f782b7a543885a0ef99f08";33.0;2;10;0.2
"3d4824f20035949c710eaf111f869d39";13.0;2;10;0.2
"406740ee611378a662d274c7d8c43c4a";25.0;2;10;0.2
"712e6ed8aa4aa1fa65dab41fed5737e4";55.8235;17;87;0.1954
"2a261b5b644fa05f4f2700eb93544f2c";33.0;16;82;0.1951
"66e0557ecc2b4dbea057e93f215f68d8";39.6667;6;31;0.1935
"602044f2c16190c2c6e45eb35c2e21cb";31.9091;11;57;0.193
"06a2c3af7b3aee5d69171b0e14f0ee87";30.7308;78;405;0.1926
"ea566164622c6b439516ab18062c42cd";32.7;10;52;0.1923
"5bc55dbe2f12b6af6d83ed46023e0dc8";31.75;4;21;0.1905
"0d85bbda9889ce1f7e63778d24f346eb";39.4545;11;58;0.1897
"86bb7c4b535e49a541baf3266b1c95b1";54.3333;3;16;0.1875
"55bb6fe5bebe5012e2d7d9928e1128ff";36.3333;3;16;0.1875
"3fd1e727ba94cfe122d165e176ce7967";30.5714;7;38;0.1842
"5011f0d93373a4c5753adf58ca77af8d";45.0;4;22;0.1818
"1b7e5006cb25dd23ce8686691013b121";18.5;2;11;0.1818
"0249d282d911d23cb8b869ab49c99f53";23.5;2;11;0.1818
"fa74b2f3287d296e9fbd2cc80f2d1cf1";43.0;2;11;0.1818
"d32e3909cfb714fb2a6cb092c85b9c5f";37.5;2;11;0.1818
"20b54c376b794ed028df09a3cd88e8dc";31.5;2;11;0.1818
"39c763cca83e654764b7a4a650fb9b7c";35.5;2;11;0.1818
"cac4c8e7b1ca6252d8f20b2fc1a2e4af";49.8667;15;83;0.1807
"921323538c9f1c4e816f2720eac02bea";18.6667;3;17;0.1765
"9c068d10aca38e85c50202e17b4a7e88";35.6667;3;17;0.1765
"cd68562d3f44870c08922d380acae552";34.6957;23;132;0.1742
"2a61c271b1ac763450d846849783e922";30.75;4;23;0.1739
"b64d51f0435e884e8de603b1655155ae";8.5;4;23;0.1739
"f593898ec748b7a8cb81fc04edafd98a";43.0;4;23;0.1739
"834f8533b2ecb6598dd004ff3de7203a";30.0;8;47;0.1702
"ec8879960bd2221d5c32f8e12f7da711";36.3333;6;36;0.1667
"70849ca4f400aaabb62cb7462a6f1428";27.5;2;12;0.1667
"b55638ad525e906c698fa2ce742c1742";33.5;2;12;0.1667
"d17f467e4bf608a510c20d82f4ba3b6b";20.5;2;12;0.1667
