"categories";"sold_items";"percentage_of_sold_volume";"revenue_in_Euros";"percentage_of_revenue";"average_review_score"
"bed_bath_table";10903;9.78;1016750.21;7.54;3.8809
"health_beauty";9572;8.59;1249978.34;9.27;4.1232
"sports_leisure";8523;7.65;974371.71;7.23;4.0948
"furniture_decor";8136;7.3;714626.74;5.3;3.9066
"computers_accessories";7710;6.92;898400.0;6.67;3.931
"housewares";6928;6.22;629389.95;4.67;4.0408
"watches_gifts";5974;5.36;1202463.09;8.92;4.0032
"telephony";4536;4.07;323264.77;2.4;3.9367
"garden_tools";4335;3.89;484416.07;3.59;4.0339
"auto";4204;3.77;590318.91;4.38;4.04
"toys";4091;3.67;481085.87;3.57;4.141
"cool_stuff";3787;3.4;629915.69;4.67;4.1341
"perfumery";3406;3.06;396960.88;2.95;4.1621
"baby";3051;2.74;410374.14;3.04;3.9948
"electronics";2758;2.47;159704.8;1.19;4.0312
"stationery";2502;2.24;229900.27;1.71;4.1871
"fashion_bags_accessories";1982;1.78;150716.15;1.12;4.1393
"pet_shop";1940;1.74;213525.82;1.58;4.1742
"office_furniture";1684;1.51;272679.94;2.02;3.4881
"others";1591;1.43;178157.51;1.32;3.8184
"consoles_games";1134;1.02;156713.93;1.16;4.0044
"luggage_accessories";1089;0.98;140177.19;1.04;4.3085
"construction_tools_construction";924;0.83;144069.29;1.07;4.0465
"home_appliances";701;0.63;76188.21;0.57;4.1583
"musical_instruments";680;0.61;191498.88;1.42;4.1353
"small_appliances";677;0.61;189964.49;1.41;4.1226
"home_construction";597;0.54;82263.62;0.61;3.9397
"books_general_interest";552;0.5;46822.88;0.35;4.4384
"food";504;0.45;29144.36;0.22;4.1587
"furniture_living_room";492;0.44;68328.39;0.51;3.8699
"home_confort";429;0.38;57486.34;0.43;3.8345
"drinks";378;0.34;22363.7;0.17;3.9868
"audio";364;0.33;50688.5;0.38;3.8159
"market_place";306;0.27;27988.78;0.21;4.0098
"construction_tools_lights";302;0.27;40602.0;0.3;3.9735
"air_conditioning";291;0.26;54588.47;0.41;3.9381
"kitchen_dining_laundry_garden_furniture";275;0.25;45612.37;0.34;3.9964
"food_drink";271;0.24;14921.94;0.11;4.2952
"books_technical";266;0.24;19068.06;0.14;4.3308
"industry_commerce_and_business";264;0.24;39307.81;0.29;4.0606
"fixed_telephony";264;0.24;59583.0;0.44;3.6705
"fashion_shoes";258;0.23;22982.97;0.17;4.2171
"costruction_tools_garden";237;0.21;25657.94;0.19;4.0422
"home_appliances_2";232;0.21;112259.59;0.83;4.1164
"agro_industry_and_commerce";212;0.19;72530.47;0.54;4.0
"art";207;0.19;24186.14;0.18;3.9275
"computers";203;0.18;222963.13;1.65;4.1429
"signaling_and_security";196;0.18;21409.23;0.16;4.0561
"construction_tools_safety";194;0.17;40544.52;0.3;3.8299
"christmas_supplies";152;0.14;8791.5;0.07;3.9013
"fashion_male_clothing";131;0.12;10772.92;0.08;3.6183
"fashion_underwear_beach";124;0.11;9412.25;0.07;3.9274
"furniture_bedroom";106;0.1;19725.78;0.15;4.0943
"costruction_tools_tools";103;0.09;15903.95;0.12;4.3592
"tablets_printing_image";83;0.07;7528.41;0.06;4.0482
"small_appliances_home_oven_and_coffee";75;0.07;46695.71;0.35;4.2933
"cine_photo";73;0.07;6949.36;0.05;4.2055
"dvds_blu_ray";64;0.06;5999.39;0.04;4.0313
"books_imported";60;0.05;4639.85;0.03;4.4
"fashio_female_clothing";49;0.04;2869.54;0.02;3.7755
"party_supplies";43;0.04;4485.18;0.03;3.7674
"diapers_and_hygiene";39;0.03;1567.59;0.01;3.2564
"music";37;0.03;6009.38;0.04;4.1892
"furniture_mattress_and_upholstery";35;0.03;3899.68;0.03;3.8286
"flowers";33;0.03;1110.04;0.01;4.2121
"home_comfort_2";30;0.03;760.27;0.01;3.3667
"fashion_sport";30;0.03;2119.51;0.02;4.2333
"arts_and_craftmanship";24;0.02;1814.01;0.01;4.125
"portable_kitchen_food_processors";15;0.01;3968.53;0.03;3.2667
"cds_dvds_musicals";14;0.01;730.0;0.01;4.6429
"la_cuisine";13;0.01;1949.99;0.01;3.6923
"pc_gamer";9;0.01;1545.95;0.01;3.3333
"fashion_childrens_clothes";8;0.01;569.85;0.0;4.5
"security_and_services";2;0.0;283.29;0.0;2.5
